Pendle Markets — 352 unique names (fetched 2026-03-27)
======================================================================
For research only — identify mezzanine protocols to add.
======================================================================

agETH                                    | ETH    | points, eth
aGHO                                     | BASE   | stables
AID                                      | ETH    | stables, rwa, points
AIDaUSDC                                 | ETH    | stables, points
AIDaUSDT                                 | ETH    | stables, points
alUSD                                    | ETH    | stables, points
amphrETH                                 | ETH    | points, eth
amphrLRT                                 | ETH    | points, eth
ankrBNB                                  | BSC    | others
ankrETH-WETH BLP                         | ETH    | eth
ankrETH-wstETH BLP                       | ETH    | eth
APE                                      | ETH    | 
apxETH                                   | ETH    | eth
apxUSD                                   | ETH    | stables, points, rwa
apyUSD                                   | ETH    | stables, points, rwa
aPYUSD                                   | ETH    | rwa, stables
ARB-ETH CMLP                             | ARB    | others
aRLUSD                                   | ETH    | stables, rwa
ARM-WETH-stETH                           | ETH    | others
ARM-WS-OS                                | SONIC  | others
asBNB                                    | BSC    | points, others
asdCRV                                   | ETH    | others
asdPENDLE                                | ETH    | others
asUSDF                                   | BSC    | stables
atvUSDC                                  | ETH    | stables
aUSDC                                    | ETH    | stables
aUSDC                                    | SONIC  | stables, points
aUSDC                                    | ARB    | stables
aUSDT                                    | ETH    | stables
aUSDT0                                   | 9745   | stables
AVLT                                     | 999    | stables, rwa, points
avUSD                                    | ETH    | points, stables
BB.sNECT                                 | 80094  | others
beHYPE                                   | 999    | hype, points
beraSTONE                                | ETH    | eth, points
BYUSD-HONEY-STABLE                       | 80094  | points, others
cbETH                                    | BASE   | eth
cmETH                                    | MNT    | points, eth
csUSDL                                   | ETH    | stables, points
ctStablefrxUSD                           | ETH    | stables, points
ctStableUSDT                             | ETH    | stables, points
cUSD                                     | ETH    | points, stables
cUSDO                                    | ETH    | stables, rwa
cUSDO                                    | BSC    | stables, rwa
DBIT                                     | ETH    | btc, points
DETH                                     | ETH    | eth, points
dnHYPE                                   | 999    | others
dnPUMP                                   | 999    | others, stables
DUSD                                     | ETH    | stables, points
dUSDC                                    | ARB    | points, stables
dWBERA                                   | 80094  | others
dWBTC                                    | ARB    | btc
eATH                                     | ARB    | others
eBTC                                     | ETH    | btc, points
eBTC                                     | 80094  | btc, points
eEIGEN                                   | ETH    | points, others
ENA                                      | ETH    | points
ePENDLE                                  | ETH    | 
ETH-Euler Prime                          | ETH    | eth
ETHx                                     | ETH    | eth
ETHx-bbaWETH BPT                         | ETH    | eth
eUSD                                     | ETH    | stables
eUSDe                                    | ETH    | stables, points, ethena
ezETH                                    | ETH    | points, eth
ezETH                                    | BSC    | points, eth
ezETH                                    | ARB    | points, eth
fGHO                                     | ETH    | stables
FRAX-USDC                                | ETH    | 
frxETH-ETH ThenaLP                       | BSC    | eth
fsGLP                                    | ARB    | others
fUSDC                                    | ETH    | stables
fUSDT                                    | ETH    | stables
fUSDT0                                   | 9745   | stables
fusnstETH                                | ETH    | eth
fxSAVE                                   | ETH    | stables
gDAI                                     | ARB    | stables
GHOUSR-gauge                             | ETH    | points, others, stables
GM ARB-USDC                              | ARB    | others
gmETH (WETH-WETH)                        | ARB    | others
GRAIL-ARB CMLP                           | ARB    | others
gtUSDa                                   | BASE   | stables
gUSDC                                    | ARB    | stables
haHYPE                                   | 999    | hype, points
hakHYPE                                  | 999    | hype, points
hbHYPE                                   | 999    | others, points, hype
hbUSDC                                   | 999    | stables, points
hbUSDT                                   | 999    | stables, points
hgETH                                    | ETH    | eth, points
hHYPE                                    | 999    | hype, points
HLP                                      | ARB    | others
HLPe                                     | 999    | others, points, ethena
hwHLP                                    | ETH    | hype, others
hwHLP                                    | 999    | points, others
hwHYPE                                   | 999    | hype, points
HYPE++                                   | 999    | stables, others
HYPED                                    | 999    | hype, points
hyWHYPE (mHYPE Isolated)                 | 999    | hype, points
iBERA                                    | 80094  | others, points
iBGT                                     | 80094  | others, points
iUSD                                     | ETH    | stables, points
jrNUSD                                   | ETH    | stables, points
jrUSDe                                   | ETH    | stables, points, ethena
kHYPE                                    | 999    | hype
KsUSDe                                   | ETH    | points, stables
KUSDe                                    | ETH    | points, stables
KweETH                                   | ETH    | points, eth
LBTC                                     | ETH    | btc, points
LBTC                                     | BASE   | points, btc
LBTC                                     | 80094  | btc, points
LBTC (Bera Concrete)                     | ETH    | btc, points
LHYPE                                    | 999    | hype, points
Lido GGV                                 | ETH    | eth
liquidBeraBTC                            | ETH    | btc, points
liquidBeraETH                            | ETH    | points, eth
liquidHYPE                               | 999    | points, others, hype
LOOKS                                    | ETH    | 
lstRZR                                   | SONIC  | others, points
lvlUSD                                   | ETH    | stables, points
mcbBTC                                   | BASE   | btc
mETH                                     | MNT    | points, eth
mevBTC                                   | ETH    | btc
mHyperBTC                                | ETH    | btc, points
mHyperETH                                | ETH    | eth, points
Morpho-PT USDC                           | ETH    | stables
mPENDLE                                  | ARB    | others
msUSD                                    | ETH    | stables, points
msUSD                                    | SONIC  | points, stables
msY                                      | ETH    | stables, points
msyrupUSDp                               | ETH    | stables
mUSDC                                    | BASE   | stables
MUXLP                                    | ARB    | others
nBASIS                                   | ETH    | stables, points
NUSD                                     | ETH    | stables, points
nWBTC                                    | ETH    | btc
PENDLE-ETH CMLP                          | ARB    | others
PEPE                                     | ETH    | points
PlasmaUSD                                | 9745   | stables, points
pufETH                                   | ETH    | points, eth
pumpBTC                                  | ETH    | btc, points
pUSDe                                    | ETH    | stables, ethena, points
pWBTC                                    | ETH    | btc
pzETH                                    | ETH    | points, eth
re-aUSDC                                 | SONIC  | points, stables
Re7LRT                                   | ETH    | points, eth
rETH                                     | OP     | eth
rETH                                     | BASE   | eth
rETH                                     | ARB    | eth
rETH-WETH BLP                            | ETH    | eth
reUSD                                    | ETH    | stables
reUSDe                                   | ETH    | stables, rwa
REZ                                      | ETH    | points
RLP                                      | ETH    | points, others
RLP                                      | 9745   | points, others, stables
RLP                                      | ARB    | points, others, stables
rsENA                                    | ETH    | points, others, ethena
rsETH                                    | ETH    | points, eth
rsETH                                    | ARB    | points, eth
rstETH                                   | ETH    | points, eth
rsUSDe                                   | ETH    | points, stables
rswETH                                   | ETH    | points, eth
rUSD                                     | ETH    | stables, points
S*USDT                                   | ETH    | stables
S*USDT                                   | ARB    | stables
S-Silo Varlamore                         | SONIC  | others, points
sAID                                     | ETH    | stables, points, rwa
satUSD+                                  | BSC    | stables, points
savETH                                   | ETH    | points, eth
