Protocol,Token(s),Chains,Num_Chains,Tags,Pendle_APY,DeFiLlama_APY,Portals_APY,TVL
3Jane,USD3,ETH,1,"points,rwa,stables",0.0%,7.8%,,$1.6M
Aarna Protocol,atvUSDC,ETH,1,stables,5.4%,,2.6%,$0.1M
Aave,stkGHO,ETH,1,stables,5.6%,,,
Aegis,sYUSD,ETH,1,"points,stables",0.4%,3.5%,0.6%,$2.2M
aGHO,aGHO,BASE,1,stables,,,,
AID,AID,ETH,1,"points,rwa,stables",,,,
Almanak,alUSD,ETH,1,"points,stables",4.6%,1.6%,0.0%,
aPYUSD,aPYUSD,ETH,1,"rwa,stables",,,,
APYX,"apxUSD,apyUSD",ETH,1,"points,rwa,stables",8.8%,13.8%,8.8%,$11.2M
aRLUSD,aRLUSD,ETH,1,"rwa,stables",,,,
Astherus,"USDF,asUSDF",BSC,1,"points,stables",4.8%,,0.9%,$0.2M
Asymmetry,USDaf,ETH,1,"points,stables",0.0%,,,
Asymmetry Finance,sUSDaf,ETH,1,"points,stables",6.4%,,,
aUSDC,aUSDC,"ARB,ETH,SONIC",3,"points,stables",,,,
aUSDT,aUSDT,ETH,1,stables,,,,
aUSDT0,aUSDT0,9745,1,stables,,,,
Avalon Finance,sUSDa,ETH,1,stables,4.1%,4.3%,,$33.5M
Avant Protocol,"avUSD,savUSD",ETH,1,"points,stables",8.0%,,5.0%,$9.5M
AVLT,AVLT,999,1,"points,rwa,stables",,,,
Cap,"cUSD,stcUSD",ETH,1,"points,stables",5.4%,4.7%,5.2%,$7.4M
Coinshift,csUSDL,ETH,1,"points,stables",4.1%,,,
Curve,"GHOUSR-gauge,scrvUSD",ETH,1,"others,points,stables",7.3%,2.1%,,
dnPUMP,dnPUMP,999,1,"others,stables",,,,
Dolomite,dUSDC,ARB,1,"points,stables",4.6%,3.5%,,$0.1M
Ethena,"USDe,sUSDe","ARB,BSC,ETH",3,"ethena,points,stables",4.3%,3.5%,2.1%,$23.4M
Ethena (Ethereal),eUSDe,ETH,1,"ethena,points,stables",0.0%,,,$0.1M
Falcon Finance,"USDf,sUSDf",ETH,1,"points,stables",5.5%,5.5%,,$1.9M
Fluid,"fGHO,fUSDT",ETH,1,stables,6.6%,5.8%,5.6%,
Flux,fUSDC,ETH,1,stables,4.4%,3.8%,6.1%,
Frax,sFRAX,ETH,1,stables,11.2%,1.0%,,
Frax Finance,sfrxUSD,ETH,1,stables,5.2%,4.2%,,
fUSDT0,fUSDT0,9745,1,stables,,,,
fxSAVE,fxSAVE,ETH,1,stables,,,,
GAIB,"AIDaUSDC,AIDaUSDT",ETH,1,"points,stables",0.0%,,,
Gains Network,"gDAI,gUSDC",ARB,1,stables,6.4%,7.2%,4.8%,$0.3M
Global Dollar,USDG,ETH,1,"_featured,rwa,stables",3.1%,5.4%,0.3%,$74.9M
gtUSDa,gtUSDa,BASE,1,stables,,,,
hbUSDC,hbUSDC,999,1,"points,stables",,,,
hbUSDT,hbUSDT,999,1,"points,stables",,,,
