Protocol/Token,Chain,Tags,Pendle_APY,TVL,DeFiLlama_APY,DeFiLlama_Match,Portals_APY
aGHO,BASE,stables,,,,,
AID,ETH,"stables, rwa, points",,,,,
AIDaUSDC,ETH,"stables, points",0.00%,$0.0M,,,
AIDaUSDT,ETH,"stables, points",0.00%,$0.0M,,,
alUSD,ETH,"stables, points",4.63%,$0.0M,1.56%,lagoon | ALUSD,0.03%
apxUSD,ETH,"stables, points, rwa",0.00%,$4.4M,,,
apyUSD,ETH,"stables, points, rwa",8.80%,$11.2M,13.76%,pendle | APYUSD,8.81%
aPYUSD,ETH,"rwa, stables",,,,,
aRLUSD,ETH,"stables, rwa",,,,,
asUSDF,BSC,stables,4.79%,$0.2M,,,0.86%
atvUSDC,ETH,stables,5.40%,$0.1M,,,2.56%
aUSDC,ETH,stables,,,,,
aUSDC,SONIC,"stables, points",,,,,
aUSDC,ARB,stables,,,,,
aUSDT,ETH,stables,,,,,
aUSDT0,9745,stables,,,,,
AVLT,999,"stables, rwa, points",,,,,
avUSD,ETH,"points, stables",0.00%,$2.5M,,,
csUSDL,ETH,"stables, points",4.13%,$0.0M,,,
ctStablefrxUSD,ETH,"stables, points",0.00%,$0.0M,,,
ctStableUSDT,ETH,"stables, points",1.47%,$0.0M,,,
cUSD,ETH,"points, stables",0.00%,$7.4M,,,
cUSDO,ETH,"stables, rwa",3.30%,$8.4M,3.24%,openeden-usdo | USDO,
cUSDO,BSC,"stables, rwa",3.30%,$0.1M,3.24%,openeden-usdo | USDO,3.30%
dnPUMP,999,"others, stables",,,,,
DUSD,ETH,"stables, points",3.41%,$1.0M,,merkl | DUSD,
dUSDC,ARB,"points, stables",4.56%,$0.1M,3.54%,dolomite | USDC,
eUSD,ETH,stables,4.63%,$0.0M,,reserve-protocol | EUSD,5.62%
eUSDe,ETH,"stables, points, ethena",0.00%,$0.1M,,,
fGHO,ETH,stables,5.50%,$0.0M,5.76%,fluid-lending | GHO,5.64%
fUSDC,ETH,stables,4.40%,$0.0M,3.76%,flux-finance | USDC,6.06%
fUSDT,ETH,stables,6.56%,$0.0M,4.84%,fluid-lending | USDT,
fUSDT0,9745,stables,,,,,
fxSAVE,ETH,stables,,,,,
gDAI,ARB,stables,6.40%,$0.0M,,,
GHOUSR-gauge,ETH,"points, others, stables",0.55%,$0.0M,,,
gtUSDa,BASE,stables,,,,,
gUSDC,ARB,stables,4.79%,$0.3M,7.20%,gains-network | USDC,4.79%
hbUSDC,999,"stables, points",,,,,
hbUSDT,999,"stables, points",,,,,
HYPE++,999,"stables, others",,,,,
iUSD,ETH,"stables, points",0.00%,$0.1M,,,
jrNUSD,ETH,"stables, points",10.30%,$2.8M,8.88%,pendle | JRNUSD,10.27%
jrUSDe,ETH,"stables, points, ethena",8.39%,$6.1M,9.62%,strata-markets | JRUSDE,8.37%
KsUSDe,ETH,"points, stables",17.96%,$0.0M,,,
KUSDe,ETH,"points, stables",0.00%,$0.0M,,,
lvlUSD,ETH,"stables, points",0.00%,$0.0M,,,
Morpho-PT USDC,ETH,stables,,,,,
msUSD,ETH,"stables, points",0.00%,$1.3M,,,
msUSD,SONIC,"points, stables",,,,,
msY,ETH,"stables, points",,,,,
msyrupUSDp,ETH,stables,3.77%,$0.0M,,,9.56%
mUSDC,BASE,stables,,,,,
nBASIS,ETH,"stables, points",,,,,
NUSD,ETH,"stables, points",0.00%,$1.5M,,,
PlasmaUSD,9745,"stables, points",,,,,
pUSDe,ETH,"stables, ethena, points",0.00%,$0.1M,,,
re-aUSDC,SONIC,"points, stables",,,,,
reUSD,ETH,stables,6.26%,$11.3M,,fluid-lending | REUSD,6.26%
reUSDe,ETH,"stables, rwa",12.73%,$5.2M,14.51%,pendle | REUSDE,12.73%
RLP,9745,"points, others, stables",,,,,
RLP,ARB,"points, others, stables",,,,,
rsUSDe,ETH,"points, stables",3.63%,$0.0M,,,3.52%
rUSD,ETH,"stables, points",0.00%,$0.0M,,,
S*USDT,ETH,stables,14.53%,$0.0M,,stargate-v1 | USDT,
S*USDT,ARB,stables,0.07%,$0.0M,,stargate-v1 | USDT,
sAID,ETH,"stables, points, rwa",,,,,
satUSD+,BSC,"stables, points",0.00%,$1.1M,,,
savUSD,ETH,"stables, points",7.98%,$9.5M,,merkl | SAVUSD,5.00%
sBOLD,ETH,stables,,,,,
scrvUSD,ETH,stables,7.31%,$0.0M,2.11%,curve-llamalend | CRVUSD,
scrvUSD-CRV,ETH,stables,22.50%,$0.0M,,,
scUSD-Silo46,SONIC,"stables, points",,,,,
sDAI,ETH,"stables, rwa",11.50%,$0.0M,,sparklend | SDAI,
sDOLA,ETH,stables,,,,,
sFRAX,ETH,stables,11.25%,$0.0M,0.96%,frax | SFRAX,
sfrxUSD,ETH,stables,5.20%,$0.0M,4.25%,frax | SFRXUSD,
sGHO,ETH,stables,,,,,
SIERRA,ETH,"stables, points, rwa",,,,,
sigmaSP,BSC,"stables, points",,,,,
siUSD,ETH,"stables, points",5.84%,$0.5M,5.49%,infinifi | SIUSD,5.18%
slvlUSD,ETH,"stables, points",8.46%,$0.0M,,,
sNUSD,ETH,"stables, points",8.28%,$42.6M,9.13%,pendle | SNUSD,8.25%
splUSD,9745,stables,,,,,
sreUSD,ETH,stables,3.28%,$0.1M,0.66%,resupply | SREUSD,1.49%
srNUSD,ETH,"stables, points",6.05%,$4.9M,6.91%,pendle | SRNUSD,6.03%
srUSDe,ETH,"stables, points, ethena",2.75%,$18.3M,2.74%,strata-markets | SRUSDE,2.74%
stcUSD,ETH,"stables, points",5.38%,$4.8M,4.74%,cap | STCUSD,5.15%
stEUR,ETH,stables,,,,,
sThUSD,ETH,"rwa, stables",14.55%,$0.1M,,,
stkaUSDC,ETH,stables,,,,,
stkaUSDT,ETH,stables,,,,,
stkGHO,ETH,stables,5.57%,$0.0M,,aave-v3 | GHO,
stUSDS,ETH,stables,5.45%,$1.0M,,morpho-v1 | STUSDS,2.63%
superUSDC,ETH,"stables, points",8.11%,$0.7M,,superform | SUPERUSDC,8.09%
SuperUSDC,ETH,"stables, points",,,,,
sUSDa,ETH,stables,4.08%,$33.5M,4.34%,pendle | SUSDA,
sUSDaf,ETH,"points, stables",6.39%,$0.0M,,,
sUSDai,9745,"points, stables, rwa",,,,,
